Model,Feature Set,Accuracy,Acc Std,Precision,Prec Std,Recall,Recall Std,F1 Score,F1 Std
SVM,Without PCA,0.9539829084707796,0.01308500120204507,0.9539829084707796,0.01308500120204507,0.9539829084707796,0.01308500120204507,0.9539829084707796,0.01308500120204507
SVM,With PCA,0.8671906655740574,0.056014027570018006,0.8671906655740574,0.056014027570018006,0.8671906655740574,0.056014027570018006,0.8671906655740574,0.056014027570018006
kNN,Without PCA,0.9233739265062134,0.022685470476332854,0.9233739265062134,0.022685470476332854,0.9233739265062134,0.022685470476332854,0.9233739265062134,0.022685470476332854
kNN,With PCA,0.8674963535750784,0.049830632979211434,0.8674963535750784,0.049830632979211434,0.8674963535750784,0.049830632979211434,0.8674963535750784,0.049830632979211434
XGBoost,Without PCA,0.9398070954208496,0.02194996381812184,0.9398070954208496,0.02194996381812184,0.9398070954208496,0.02194996381812184,0.9398070954208496,0.02194996381812184
XGBoost,With PCA,0.8657509736982817,0.049567763957293,0.8657509736982817,0.049567763957293,0.8657509736982817,0.049567763957293,0.8657509736982817,0.049567763957293
